filial,ean,codigo_produto,descricao,complemento,tipo_oferta,preco_venda,preco_promocao,data_inicio,data_termino
60,7891035002458,2388564,INSET SBP AER ANTI AEDES AEGYPTI S CHEIRO,360ml,Promocao,,,2025-10-22,2026-04-30
60,7899674038661,2455938,MULTI INSET PROINSET ACAO TOTAL EMB ECON,350ml,Promocao,,,2025-10-28,2026-04-30
60,7891150103771,2599069,SH 350ML+COND 175ML DOVE RECONST+AMININOAC,UN,Oferta,,,2026-01-02,2026-12-31
60,7896020615606,9930032,PRANCHA MOR BOBYBOARD ALOHA 72X43CM RF1560,UN,Oferta,,,2026-03-17,2026-04-05
60,7891035000027,2201313,TIRA MANCHAS LIQ VANISH WHITE S/CL SACHET,1.2L,Oferta,,,2025-09-25,2026-05-31
60,7898302006355,2630946,AMAC AQUAFAST CONC BRANCO TERNURA GTS250ML,1.5L,CrmDesconto,,,2026-03-27,2026-04-30
60,7702031539421,9569560,ANTISSEPT B LISTERINE ZERO C MIN L+P- 1,5L,UN,CrmDesconto,,,2026-03-27,2026-04-30
60,7898302006362,2630922,AMAC AQUAFAST CONC AZUL HARMONIA GTS250ML,1.5L,CrmDesconto,,,2026-03-27,2026-04-30
60,7891023547374,9502598,GARRAFA T TERMO M PUMP PTA 1,8L RF8709PRT,UN,CrmCashback,,,2026-03-27,2026-04-30
60,7896082508526,2322834,QUADRITOS PEIXE COSTA SUL EMPANADOS CONG,400g,CrmCashback,,,2026-03-27,2026-04-30
60,7500435238670,2464176,SH HEAD SHOULDERS M MENTHOL SPORT L+P-,650ml,CrmCashback,,,2026-03-27,2026-04-30
60,7891991000727,8362636,REFRI ANTAR GUARANA S/ACUC LT,350ml,Scanntech,,,2026-03-27,2026-04-30
60,7891991002684,8362902,REFRI ANTAR GUARANA ZERO PET,600ml,Scanntech,,,2026-03-27,2026-04-30
60,7891991303200,2379715,CERV SPATEN PURO MALTE LT,473ml,Scanntech,,,2026-03-27,2026-04-30
60,7808765758197,2473147,VIN ARG PROFUGO ESPECIAIS CAB SAUV,750ml,PDV-LevePague,39.90,,,
60,7894900184372,2559636,BEB MISTA SCHWEPPES SPRITZ S/GLUT,269ml,PDV-LevePague,6.49,,,
60,7896034301083,9843479,ESPUM GARIBALDI VG EXTRA BRUT BCO,750ml,PDV-LevePague,59.89,,,
60,4005900980397,2599441,PROT SOLAR NIVEA FACIAL FPS 70,40ml,PDV-LeveGratis,48.90,,,
60,42360407,9958609,CR HID NIVEA FACIAL NUTRITIVO,100g,PDV-LeveGratis,29.80,,,
60,4005900686565,2624860,PROT SOLAR NIVEA SUN FPS30,100ml,PDV-LeveGratis,33.20,,,
60,7898380412406,2567778,BISNAGUINHA BELIVE MULTIGRAO S/GLUT,200g,PDV-DescontoCompra,22.79,,,
60,7898380411874,2567853,PAO FORMA BELIVE TRAD S/GLUT,400g,PDV-DescontoCompra,19.98,,,
60,7896625211937,2548883,QUEI FAIXA AZUL PARM FATIA,180g,PDV-DescontoCompra,33.49,,,
